"section","module","question_number","passage","prompt","question_type","option_a","option_b","option_c","option_d","correct_answer","correct_answer_text","image_url"
"math","1","1","","If 6 + x = 70, what is the value of 48 + 8x?","spr","","","","","","560",""
"math","1","2","","Type of entree Number of people Beef 17 Chicken 20 Fish 6 Vegetarian 7 Total 50 A total of 50 people attended a conference and were offered 4 types of entrees. The table shows the number of people who chose each type of entree. If one of these people is selected at random, what is the probability of selecting a person who chose a vegetarian entree?","mcq","7/100","7/50","1/4","7/10","B","",""
"math","1","3","","y = 30x + 100 The equation gives the total cost y, in dollars, for a small business to produce x shirts. How many shirts can the business produce for a total cost of $550?","mcq","−3","15","18","21","B","",""
"math","1","4","","Triangles XY Z and RST are congruent, where XY = 654 and Y Z = 654. If RS = ST, what is the length of segment RS?","mcq","327","654","1,308","1,962 2 2026 March Int I","B","",""
"math","1","5","","A length of 590 meters is equal to how many decimeters? (1 meter = 10 decimeters)","spr","","","","","","5900",""
"math","1","6","","An object traveled 0.20 meters for every 4.0 seconds it was in motion. If the object was in motion for 24 seconds, what is the total distance, in meters, the object traveled?","spr","","","","","","1.2",""
"math","1","7","","The function f is defined by f(x) = 6(4)x. What is the value of f(x) when x = 3?","mcq","64","81","258","384","D","",""
"math","1","8","","The number of cells of the bacteria Bacillus megaterium doubles every 25 minutes during its growth period when placed in a medium of sucrose-salts in a controlled laboratory environment. If a sample of 980 cells of Bacillus megaterium is placed in sucrose-salts in a controlled laboratory environment, which function f best represents the number of cells of the bacteria x minutes after the growth period begins, where x is less than the number of minutes in the growth period?","mcq","f(x) = 980 1 2  x","f(x) = 980(2) x","f(x) = 980 1 3  x","f(x) = 980(3) x","B","",""
"math","1","9","","A model predicts that a certain elephant calf weighed 208 pounds when it was born and that the calf gained 3 pounds per day in its first year of life. This model is defined by an equation in the form f(x) = a + bx, where f(x) is the predicted weight, in pounds, of the elephant calf x days after it was born, and a and b are constants. What is the value of a? 3 2026 March Int I","spr","","","","","","208",""
"math","1","10","","The expression 13x3 + 19x3 −17x3 is equivalent to bx3, where b is a constant. What is the value of b?","spr","","","","","","15",""
"math","1","11","","x2 −20x = 0 Which of the following is a solution to the given equation?","mcq","40","20","10","√","B","",""
"math","1","12","","49 26 C A B Note: Figure not drawn to scale. In the right triangle shown, what is the value of cos A?","mcq","1/49","1/26","26/49","49/26","C","",""
"math","1","13","","x t(x) 29 15 32 33 2 51 26 For the linear function t, the table shows three values of x and their corresponding values of t(x). Function v is defined by v(x) = t(x) −4. What is the x-intercept of the graph of y = v(x) in the xy-plane? 4 2026 March Int I","mcq","(−1, 0)","(3, 0)","(7, 0)","(8, 0)","C","",""
"math","1","14","","For the polynomial function f, the graph of y = f(x) in the xy-plane passes through the points (−5, 0), (3, 0), and (4, 0). Which of the following must be a factor of f(x)?","mcq","x + 3","x + 4","x −3","x −5","C","",""
"math","1","15","","What is the x-intercept of a line in the xy-plane that has a slope of −4/7 and passes through the point (0, 12)?","mcq","(−21, 0)","(−4, 0)","(7, 0)","(21, 0)","D","",""
"math","1","16","","A circle has a circumference of 10π centimeters. What is the diameter, in centimeters, of the circle?","spr","","","","","","10",""
"math","1","17","","A neighborhood consists of a 3-hectare park and a 34-hectare residential area. The total number of trees in the neighborhood is 4,832. The equation 3x + 34y = 4,832 represents this situation. Which of the following is the best interpretation of x in this context?","mcq","The average number of trees per hectare in the park","The average number of trees per hectare in the residential area","The total number of trees in the park","The total number of trees in the residential area 5 2026 March Int I","A","",""
"math","1","18","","In the xy-plane, an equation of circle A is (x−5)2 +(y −7)2 = 16. Circle B has the same center as circle A but has a radius that is twice the radius of circle A. Which equation represents circle B?","mcq","(x −5)2 + (y −7)2 = 32","(x −5)2 + (y −7)2 = 64","(x −5)2 + (y −7)2 = 128","(x −5)2 + (y −7)2 = 256","B","",""
"math","1","19","","Number of employees Number of stores 1 to 6 2 7 to 12 3 13 to 18 1 19 to 24 6 25 to 30 1 The table shown summarizes the number of employees at each of the 13 stores in a shopping plaza. Which of the following could be the median number of employees for the stores in the shopping plaza?","mcq","1","9","15","21","D","",""
"math","1","20","","For the positive quantities m, q, and r, m is 20% of m + 9 + r, q is 30% of q + r, and the value of r is 1,358. What is the value of m? 6 2026 March Int I","spr","","","","","","485",""
"math","1","21","","−6−5−4−3−2−1 1 2 3 4 5 6 −10 −8 −6 −4 −2 2 4 x y The graph of y = f(x) + 2 is shown, where f is defined by an equation of the form f(x) = a(b)x + c. If a, b, and c are integer constants and c ≤0, which equation could define f?","mcq","f(x) = −5(3)x","f(x) = −5(3)x −1","f(x) = −5(3)x −3","f(x) = −5(3)x −5","A","",""
"math","1","22","","30x = 1,800y −2,700 One of the two equations in a system of linear equations is given. The system has no solution. Which equation could be the second equation in this system?","mcq","1 30x = 2y","1 30x = 60y −90","x = 2y","x = 60y −90 7 2026 March Int I Math","A","",""
"math","2","1","","A candle is made of 18 ounces of wax. When the candle is burning, the amount of wax in the candle decreases by 1 ounce every 4 hours. If 8 ounces of wax remain in this candle, for how many hours has it been burning?","mcq","3","7","32","40","D","",""
"math","2","2","","0 15 30 45 0 15 30 45 60 x y The scatterplot shows the relationship between two variables, x and y, for data set A. A line of best fit for the data is also shown. Data set B is created by subtracting 8 units from the value of y for each data point from data set A. Which of the following is closest to the y-coordinate of the y-intercept of the line of best fit for data set B?","mcq","39.17","48","52.22","72.33","A","",""
"math","2","3","","q(x) = 12(2x) Which table gives three values of x and their corresponding values of q(x) for function q?","mcq","x −1 0 1 q(x) −24 0 24 9 2026 March Int I","x −1 0 1 q(x) 1 6 2","x −1 0 1 q(x) 1 6 12","x −1 0 1 q(x) 6","D","",""
