question_number,question_id,question_type,prompt,option_a,option_b,option_c,option_d,correct_answer_index,correct_answer_text,image_url
1,"1fbd3b67","mcq","The number \(a\) is \(190\%\) greater than the number \(b\). The number \(b\) is \(80\%\) less than \(24\). What is the value of \(a\)?","\(9.12\)","\(13.92\)","\(26.40\)","\(36.48\)",1,"",""
2,"ecbdbe84","mcq","The table shown summarizes the number of employees at each of the \(17\) restaurants in a town.

| Number of employees | Number of restaurants |
| :--- | :--- |
| \(2\) to \(7\) | \(2\) |
| \(8\) to \(13\) | \(4\) |
| \(14\) to \(19\) | \(2\) |
| \(20\) to \(25\) | \(7\) |
| \(26\) to \(31\) | \(2\) |

Which of the following could be the median number of employees for the restaurants in this town?","\(2\)","\(9\)","\(15\)","\(21\)",3,"",""
3,"f8a322d9","mcq","Two data sets of \(23\) integers each are summarized in the histograms shown. For each of the histograms, the first interval represents the frequency of integers greater than or equal to \(10\), but less than \(20\). The second interval represents the frequency of integers greater than or equal to \(20\), but less than \(30\), and so on. What is the smallest possible difference between the mean of data set A and the mean of data set B?","\(0\)","\(1\)","\(10\)","\(23\)",1,"","/images/psda_hard/q3_histograms.png"
4,"3638f413","spr","Jeremy deposited \(x\) dollars in his investment account on January 1, 2001. The amount of money in the account doubled each year until Jeremy had \(480\) dollars in his investment account on January 1, 2005. What is the value of \(x\)?","","","","",-1,"30",""
5,"1142af44","mcq","The frequency distribution below summarizes a set of data, where \(a\) is a positive integer.

| Value | Frequency |
| :--- | :--- |
| \(1\) | \(a\) |
| \(2\) | \(2a\) |
| \(3\) | \(3a\) |
| \(4\) | \(2a\) |
| \(5\) | \(a\) |

How much greater is the mean of the set of data than the median?","\(0\)","\(1\)","\(2\)","\(3\)",0,"",""
6,"1e8ccffd","mcq","The mean score of \(8\) players in a basketball game was \(14.5\) points. If the highest individual score is removed, the mean score of the remaining \(7\) players becomes \(12\) points. What was the highest score?","\(20\)","\(24\)","\(32\)","\(36\)",2,"",""
7,"1e1027a7","mcq","The scatterplot above shows a company’s ice cream sales \(d\), in dollars, and the high temperature \(t\), in degrees Celsius (\(^{\circ}\text{C}\)), on \(12\) different days. A line of best fit for the data is also shown. Which of the following could be an equation of the line of best fit?","\(d = 0.03t + 402\)","\(d = 10t + 402\)","\(d = 33t + 300\)","\(d = 33t + 84\)",3,"","/images/psda_hard/q7_scatterplot_icecream.png"
8,"e7d48c8a","mcq","The dot plot represents a data set of the number of bursts for \(13\) eruptions of a steam vent. If an additional eruption with \(11\) bursts is added to this data set to create a new data set of \(14\) eruptions, which of the following measures will be greater for the new data set than for the original data set?

I. The median number of bursts
II. The mean number of bursts","I and II","I only","II only","Neither I nor II",2,"","/images/psda_hard/q8_dotplot_bursts.png"
9,"8637294f","spr","If \(\frac{4a}{b} = 6.7\) and \(\frac{a}{bn} = 26.8\), what is the value of \(n\)?","","","","",-1,"0.0625",""
10,"308084c5","mcq","The results of two random samples of votes for a proposition are shown below. The samples were selected from the same population, and the margins of error were calculated using the same method.

| Sample | Percent in favor | Margin of error |
| :--- | :--- | :--- |
| A | \(52\%\) | \(4.2\%\) |
| B | \(48\%\) | \(1.6\%\) |

Which of the following is the most appropriate reason that the margin of error for sample A is greater than the margin of error for sample B?","Sample A had a smaller number of votes that could not be recorded.","Sample A had a higher percent of favorable responses.","Sample A had a larger sample size.","Sample A had a smaller sample size.",3,"",""
11,"e635aede","mcq","In 2008, Zinah earned \(14\%\) more than in 2007, and in 2009 Zinah earned \(4\%\) more than in 2008. If Zinah earned \(y\) times as much in 2009 as in 2007, what is the value of \(y\)?","\(0.5600\)","\(1.0056\)","\(1.1800\)","\(1.1856\)",3,"",""
12,"7d721177","mcq","The density of a certain type of wood is \(353\) kilograms per cubic meter. A sample of this type of wood is in the shape of a cube and has a mass of \(345\) kilograms. To the nearest hundredth of a meter, what is the length of one edge of this sample?","\(0.98\)","\(0.99\)","\(1.01\)","\(1.02\)",1,"",""
13,"67c0200a","spr","The number \(a\) is \(70\%\) less than the positive number \(b\). The number \(c\) is \(80\%\) greater than \(a\). The number \(c\) is how many times \(b\)?","","","","",-1,"0.54",""
