module,question_number,prompt,option_a,option_b,option_c,option_d,correct_answer_index,correct_answer_text,image_url,question_type
"1","1","In the \(xy\)-plane, line \(\ell\) passes through the point \((0, 0)\) and is parallel to the line represented by the equation \(y = 8x + 2\). If line \(\ell\) also passes through the point \((3, d)\), what is the value of \(d\)?","","","","","","24","","spr"
"1","2","One gallon of stain will cover \(170\) square feet of a surface. A yard has a total fence area of \(w\) square feet. Which equation represents the total amount of stain \(S\), in gallons, needed to stain the fence in this yard twice?","\(S = \frac{w}{170}\)","\(S = 170w\)","\(S = 340w\)","\(S = \frac{w}{85}\)","3","","","mcq"
"1","3","In the system of equations below, \(a\) and \(c\) are constants.
\(\frac{1}{2}x + \frac{1}{3}y = \frac{1}{6}\)
\(ax + y = c\)
If the system of equations has an infinite number of solutions \((x, y)\), what is the value of \(a\)?","\(-\frac{1}{2}\)","\(0\)","\(\frac{1}{2}\)","\(\frac{3}{2}\)","3","","","mcq"
"1","4","[image]
The graph of \(y = f(x) + 14\) is shown. Which equation defines function \(f\)?","\(f(x) = -\frac{1}{4}x - 12\)","\(f(x) = -\frac{1}{4}x + 16\)","\(f(x) = -\frac{1}{4}x + 2\)","\(f(x) = -\frac{1}{4}x - 14\)","0","","images/media_1786980513333_Q4.png","mcq"
"1","5","Keenan made \(32\) cups of vegetable broth. Keenan then filled \(x\) small jars and \(y\) large jars with all the vegetable broth he made. The equation \(3x + 5y = 32\) represents this situation. Which is the best interpretation of \(5y\) in this context?","The number of large jars Keenan filled","The number of small jars Keenan filled","The total number of cups of vegetable broth in the large jars","The total number of cups of vegetable broth in the small jars","2","","","mcq"
"1","6","\(y = 7x + 18\)
One of the equations in a system of two linear equations is given. The system has no solution. Which equation could be the second equation in the system?","\(-21x + y = 54\)","\(-21x + y = 18\)","\(-7x + y = 21\)","\(-7x + y = 18\)","2","","","mcq"
"1","7","\(y = 4x + 1\)
\(4y = 15x - 8\)
The solution to the given system of equations is \((x, y)\). What is the value of \(x - y\)?","","","","","","35","","spr"
"1","8","\(7x - 5y = 4\)
\(4x - 8y = 9\)
If \((x, y)\) is the solution to the system of equations above, what is the value of \(3x + 3y\)?","\(-13\)","\(-5\)","\(5\)","\(13\)","1","","","mcq"
"1","9","A sample of a certain alloy has a total mass of \(50.0\) grams and is \(50.0\%\) silicon by mass. The sample was created by combining two pieces of different alloys. The first piece was \(30.0\%\) silicon by mass and the second piece was \(80.0\%\) silicon by mass. What was the mass, in grams, of the silicon in the second piece?","\(9.0\)","\(16.0\)","\(20.0\)","\(30.0\)","1","","","mcq"
"1","10","\(ax + by = b\)
In the equation above, \(a\) and \(b\) are constants and \(0 < a < b\). Which of the following could represent the graph of the equation in the \(xy\)-plane?","images/media_1786980513333_Q10_A.png","images/media_1786980513333_Q10_B.png","images/media_1786980513333_Q10_C.png","images/media_1786980513333_Q10_D.png","2","","","mcq"
"1","11","\(2(kx - n) = -\frac{28}{15}x - \frac{36}{19}\)
In the given equation, \(k\) and \(n\) are constants and \(n > 1\). The equation has no solution. What is the value of \(k\)?","","","","","","-14/15","","spr"
"1","12","[image]
The points plotted in the coordinate plane above represent the possible numbers of wallflowers and cornflowers that someone can buy at the Garden Store in order to spend exactly \(\$24.00\) total on the two types of flowers. The price of each wallflower is the same and the price of each cornflower is the same. What is the price, in dollars, of \(1\) cornflower?","","","","","","1.5","images/media_1786980513333_Q12.png","spr"
"1","13","A small business owner budgets \(\$2,200\) to purchase candles. The owner must purchase a minimum of \(200\) candles to maintain the discounted pricing. If the owner pays \(\$4.90\) per candle to purchase small candles and \(\$11.60\) per candle to purchase large candles, what is the maximum number of large candles the owner can purchase to stay within the budget and maintain the discounted pricing?","","","","","","182","","spr"
