module,question_number,prompt,correct_answer_text,image_url,question_type
"1","1","If \(6 + x = 70\), what is the value of \(48 + 8x\)?","560","","spr"
"1","5","A length of \(590\) meters is equal to how many decimeters? \((1\text{ meter} = 10\text{ decimeters})\)","5900","","spr"
"1","6","An object traveled \(0.20\) meters for every \(4.0\) seconds it was in motion. If the object was in motion for \(24\) seconds, what is the total distance, in meters, the object traveled?","1.2","","spr"
"1","9","A model predicts that a certain elephant calf weighed \(208\) pounds when it was born and that the calf gained \(3\) pounds per day in its first year of life. This model is defined by an equation in the form \(f(x) = a + bx\), where \(f(x)\) is the predicted weight, in pounds, of the elephant calf \(x\) days after it was born, and \(a\) and \(b\) are constants. What is the value of \(a\)?","208","","spr"
"1","10","The expression \(13x^3 + 19x^3 - 17x^3\) is equivalent to \(bx^3\), where \(b\) is a constant. What is the value of \(b\)?","15","","spr"
"1","16","A circle has a circumference of \(10\pi\) centimeters. What is the diameter, in centimeters, of the circle?","10","","spr"
"1","20","For the positive quantities \(m\), \(q\), and \(r\), \(m\) is \(20\%\) of \(m + 9 + r\), \(q\) is \(30\%\) of \(q + r\), and the value of \(r\) is \(1,358\). What is the value of \(m\)?","485","","spr"
"2","4","For the exponential function \(g\), the value of \(g(x)\) doubles for every increase of \(2\) in the value of \(x\). If \(g(5) = 13\), what is the value of \(g(7)\)?","26","","spr"
"2","8","An object is kicked from a platform. The equation \(h = -4.9t^2 + 8t + 11\) represents this situation, where \(h\) is the height of the object above the ground, in meters, \(t\) seconds after it is kicked. According to the equation, what is the height, in meters, from which the object was kicked?","11","","spr"
"2","14","Line \(s\) is perpendicular to line \(t\) in the \(xy\)-plane. Line \(s\) passes through the points \((6, 7/8)\) and \((-3, -17/8)\). Line \(t\) passes through the points \((-8, 39)\) and \((k, 78)\). What is the value of \(k\)?","-21","","spr"
"2","19","\(\frac{2}{7}(2x + 7)(x + \sqrt{2k + 7}x - \sqrt{2k + 7}) = 0\)
In the given equation, \(k\) is a positive constant. The product of the solutions to the equation is \(63\). What is the value of \(k\)?","5.5","","spr"
"2","21","<table class="sat-table" style="border-collapse: collapse; margin: 12px 0; width: 100%; border: 1px solid #cbd5e1;"><thead><tr style="background: #f8fafc;"><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;"></th><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">Area (square inches)</th></tr></thead><tbody><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">Trapezoid \(ABCD\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(440\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">Trapezoid \(EFGH\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(11,000\)</td></tr></tbody></table>Trapezoid \(ABCD\) is similar to trapezoid \(EFGH\), where \(A\), \(B\), \(C\), and \(D\) correspond to \(E\), \(F\), \(G\), and \(H\), respectively. The length of side \(AB\) is \(55\) inches. What is the length, in inches, of side \(EF\)?","275","","spr"
