module,question_number,prompt,option_a,option_b,option_c,option_d,correct_answer_index,image_url,question_type
"1","2","A total of \(50\) people attended a conference and were offered \(4\) types of entrees. The table shows the number of people who chose each type of entree. If one of these people is selected at random, what is the probability of selecting a person who chose a vegetarian entree?

<table class="sat-table" style="border-collapse: collapse; margin: 12px 0; width: 100%; border: 1px solid #cbd5e1;"><thead><tr style="background: #f8fafc;"><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">Type of entree</th><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">Number of people</th></tr></thead><tbody><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">Beef</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(17\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">Chicken</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(20\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">Fish</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(6\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">Vegetarian</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(7\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(\textbf{Total}\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(\textbf{50}\)</td></tr></tbody></table>","\(\frac{7}{100}\)","\(\frac{7}{50}\)","\(\frac{1}{4}\)","\(\frac{7}{10}\)","1","","mcq"
"1","3","\[y = 30x + 100\]
The equation gives the total cost \(y\), in dollars, for a small business to produce \(x\) shirts. How many shirts can the business produce for a total cost of \(\$550\)?","\(-3\)","\(15\)","\(18\)","\(21\)","1","","mcq"
"1","4","Triangles \(XYZ\) and \(RST\) are congruent, where \(XY = 654\) and \(YZ = 654\). If \(RS = ST\), what is the length of segment \(RS\)?","\(327\)","\(654\)","\(1,308\)","\(1,962\)","1","","mcq"
"1","7","The function \(f\) is defined by \(f(x) = 6(4)^x\). What is the value of \(f(x)\) when \(x = 3\)?","\(64\)","\(81\)","\(258\)","\(384\)","3","","mcq"
"1","8","The number of cells of the bacteria \(\text{Bacillus megaterium}\) doubles every \(25\) minutes during its growth period when placed in a medium of sucrose-salts in a controlled laboratory environment. If a sample of \(980\) cells of \(\text{Bacillus megaterium}\) is placed in sucrose-salts in a controlled laboratory environment, which function \(f\) best represents the number of cells of the bacteria \(x\) minutes after the growth period begins, where \(x\) is less than the number of minutes in the growth period?","\(f(x) = 980\left(\frac{1}{2}\right)^{\frac{x}{25}}\)","\(f(x) = 980(2)^{\frac{x}{25}}\)","\(f(x) = 980\left(\frac{1}{3}\right)^{\frac{x}{25}}\)","\(f(x) = 980(3)^{\frac{x}{25}}\)","1","","mcq"
"1","11","\[x^2 - 20x = 0\]
Which of the following is a solution to the given equation?","\(40\)","\(20\)","\(10\)","\(\sqrt{20}\)","1","","mcq"
"1","12","[image]
In the right triangle shown, what is the value of \(\cos A\)?","\(\frac{1}{49}\)","\(\frac{1}{26}\)","\(\frac{26}{49}\)","\(\frac{49}{26}\)","2","","mcq"
"1","13","For the linear function \(t\), the table shows three values of \(x\) and their corresponding values of \(t(x)\). Function \(v\) is defined by \(v(x) = t(x) - 4\). What is the \(x\)-intercept of the graph of \(y = v(x)\) in the \(xy\)-plane?

<table class="sat-table" style="border-collapse: collapse; margin: 12px 0; width: 100%; border: 1px solid #cbd5e1;"><thead><tr style="background: #f8fafc;"><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">\(x\)</th><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">\(t(x)\)</th></tr></thead><tbody><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(29\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(15\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(32\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(\frac{33}{2}\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(51\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(26\)</td></tr></tbody></table>","\((-1, 0)\)","\((3, 0)\)","\((7, 0)\)","\((8, 0)\)","2","","mcq"
"1","14","For the polynomial function \(f\), the graph of \(y = f(x)\) in the \(xy\)-plane passes through the points \((-5, 0)\), \((3, 0)\), and \((4, 0)\). Which of the following must be a factor of \(f(x)\)?","\(x + 3\)","\(x + 4\)","\(x - 3\)","\(x - 5\)","2","","mcq"
"1","15","What is the \(x\)-intercept of a line in the \(xy\)-plane that has a slope of \(-\frac{4}{7}\) and passes through the point \((0, 12)\)?","\((-21, 0)\)","\((-4, 0)\)","\((7, 0)\)","\((21, 0)\)","3","","mcq"
