module,question_number,prompt,option_a,option_b,option_c,option_d,correct_answer_index,correct_answer_text,image_url,question_type
"1","1","A system of equations consists of a quadratic equation and a linear equation. The equations in this system are graphed in the \(xy\)-plane above.
How many solutions does this system have?","\(0\)","\(1\)","\(2\)","\(3\)","2","","images/adv_math_med_q1.png","mcq"
"1","2","\(y = x + 1\)
\(y = x^2 + x\)
If \((x, y)\) is a solution to the system of equations above, which of the following could be the value of \(x\)?","\(-1\)","\(0\)","\(2\)","\(3\)","0","","","mcq"
"1","3","\(4a^2 + 20ab + 25b^2\)
Which of the following is a factor of the polynomial above?","\(a + b\)","\(2a + 5b\)","\(4a + 5b\)","\(4a + 25b\)","1","","","mcq"
"1","4","If \(p = 3x + 4\) and \(v = x + 5\), which of the following is equivalent to \(pv - 2p + v\)?","\(3x^2 + 12x + 7\)","\(3x^2 + 14x + 17\)","\(3x^2 + 19x + 20\)","\(3x^2 + 26x + 33\)","1","","","mcq"
"1","5","\(x^2 - x - 1 = 0\)
What values satisfy the equation above?","\(x = 1\) and \(x = 2\)","\(x = -\frac{1}{2}\) and \(x = \frac{3}{2}\)","\(x = \frac{1 + \sqrt{5}}{2}\) and \(x = \frac{1 - \sqrt{5}}{2}\)","\(x = \frac{-1 + \sqrt{5}}{2}\) and \(x = \frac{-1 - \sqrt{5}}{2}\)","2","","","mcq"
"1","6","\(y = 7,400(0.87)^x\)
The given equation estimates the value, in dollars, of a certain piece of equipment \(x\) years after it was purchased. According to the given equation, what was the estimated value, in dollars, of the piece of equipment at the time it was purchased?","\(740\)","\(6,438\)","\(7,400\)","\(8,700\)","2","","","mcq"
"1","7","Which of the following is equivalent to the expression \(x^4 - x^2 - 6\)?","\((x^2 + 1)(x^2 - 6)\)","\((x^2 + 2)(x^2 - 3)\)","\((x^2 + 3)(x^2 - 2)\)","\((x^2 + 6)(x^2 - 1)\)","1","","","mcq"
"1","8","\((2x + 5)^2 - (x - 2) + 2(x + 3)\)
Which of the following is equivalent to the expression above?","\(4x^2 + 21x + 33\)","\(4x^2 + 21x + 29\)","\(4x^2 + x + 29\)","\(4x^2 + x + 33\)","0","","","mcq"
"1","9","Which of the following expressions is equivalent to \(x^2 - 5\)?","\((x + \sqrt{5})^2\)","\((x - \sqrt{5})^2\)","\((x + \sqrt{5})(x - \sqrt{5})\)","\((x + 5)(x - 1)\)","2","","","mcq"
"1","10","\(f(x) = 4,000(0.75)^x\)
An entomologist recommended a program to reduce a certain invasive beetle population in an area. The given function estimates this beetle species' population \(x\) years after 2012, where \(x \le 7\). Which of the following is the best interpretation of \(4,000\) in this context?","The estimated initial beetle population for this species and area in 2012","The estimated beetle population for this species and area 7 years after 2012","The estimated percent decrease in the beetle population for this species and area each year after 2012","The estimated percent decrease in the beetle population for this species and area every 7 years after 2012","0","","","mcq"
