"section","module","question_number","passage","prompt","question_type","option_a","option_b","option_c","option_d","correct_answer","correct_answer_text","image_url"
"math","1","1","","If 6w + 1 ≤13, what is the greatest possible value of 6w −1?","mcq","1","2","11","12","C","",""
"math","1","2","","if 2x −1 = 3a, what is the value of 4x + 4?","mcq","6a + 2","6a + 3","6a + 5","6a + 6","D","",""
"math","1","3","","A line has a slope of 3 5 and passes through the point (10,5). Which equation represents this line?","mcq","y = 3 5x −1","y = 3 5x + 5","y = 3 5x + 7","y = 3 5x + 11","A","",""
"math","1","4","","In the xy-plane, line p is represented by the equation y = 3 2x −6. If line q perpendicular to line p and passes through the point (-4, 1 ), which of the following is the equation of line q?","mcq","y = −2 3x −5","y = −2 3x + 11","y = −3 2x −5","y = −3 2x + 7 2 PMMSET 006","A","",""
"math","1","5","","In the xy-plane, line k passes through the points (−a, b) and (b, −a), where a + b̸ = 0. What is the slope of line k?","mcq","−1","0","1","The slope is undefined.","A","",""
"math","1","6","","5x + y = 17 4x −y = 10 If (x, y) is the solution to the system of equations above, what is the value of x + 2y?","spr","","","","","","7",""
"math","1","7","","A quality control manager at a food manufacturer is tasting the weight of potato chip bags produced by the company. The manager selects 200 bags at random from the final output that day and determines the average weight has a 95% confidence interval of 156 to 161 grams. Which of the following conclusions is most valid based on the confidence interval?","mcq","The true average weight of all potato chip bags produced by the company that day is probably between 156 and 161 grams.","The true average weight of all potato chip bags ever produced by the company is probably between 156 and 161 grams.","95% of all potato chip bags produced by the company that day have a weight between 156 and 161 grams.","95% of all potato chip bags ever produced by the company have a weight between 156 and 161 grams. 3 PMMSET 006","A","",""
"math","1","8","","0 3 6 9 0 2 4 6 8 10 Hours driven Number of people Weekly Commute to Work in Hours A survey asked a group of people to estimate the number of hours they commute to work per week. The results of the survey are shown in the histogram above. Which interval contains the median number of hours driven?","mcq","3 hours","6 hours","9 hours","12 hours","A","",""
"math","1","9","","Skee-Ball Table A B C D E F G Section Point value Radius (in) A 10 – B 20 9 C 30 3 D 40 3 E 50 3 F 100 2 G 100 2 In the game of skee-ball, players try to score the highest point value by rolling a ball down a lane that then angles upward and launches the ball into one of seven sections; the section are represented in the skee-ball diagram shown above. For each turn, the player 4 PMMSET 006 earns the number of points designated for the section in which the ball comes to a rest. The rectangular skee-ball table has a length of 38 and a width of 28 inches, and is divided into 7 sections, A through G. Sections B through G are bound by circles, and section A is the remaining portion of the table. The radius and point value of each section are shown in the table above, (Note: Because section A is not a circle, it does not have a radius.) If Simon rolled the ball such that it landed on the board at random and he scored at least 20 points, which of the following is closest to the probability that the ball landed in section B?","mcq","0.827","0.643","0.240","0.186","B","",""
"math","1","10","","Aptitude Test Results by Individual 2 4 6 8 10 12 2 4 6 8 10 12 14 16 18 20 22 Age Number of incorrect answers An aptitude test was given to a group of children ranging in age from 4 to 9. The scatterplot above compares the child’s age with the number of incorrect answers for each child. Which of the following equations best models the data shown in the scatterplot?","mcq","y = 2x + 21","y = 2x + 10","y = −2x + 21","y = −2x + 10 5 PMMSET 006","C","",""
"math","1","11","","If x2 + y2 = w and xy = z, which of these expressions is equivalent to 9w + 18z?","mcq","(9x + 18y)2","(9x + 9y)2","(3x + 3y)2","(3x + y)2","C","",""
"math","1","12","","30x4 −10x3 + 15x2 −5x Which of the following expressions is equivalent to the expression above?","mcq","(3x −1)(2x2 + 1)","x(5x + 1)(6x2 −5)","5x(3x −1)(2x2 + 1)","5x(3x + 1)(2x2 −1)","C","",""
"math","1","13","","x f(x) g(x) 1 3 1 2 5 6 3 7 4 4 9 9 5 11 7 6 13 12 7 15 10 Various values of the functions f(x) and g(x) are given in the table above. What is the value of g(f(2))?","spr","","","","","","7",""
"math","1","14","","f(x) = 4x2 + px + p In the polynomial f(x) above, p is a constant. If x+3 is a factor of the polynomial, what is the value of p? 6 PMMSET 006","spr","","","","","","18",""
"math","1","15","","What is the sum of the solutions to (3x + 8)(2x −5) = 0?","mcq","−3","−1","1","3","B","",""
"math","1","16","","m(x2 + 1) = 5 + m In the equation above, m is a nonzero constant. Which of the following inequalities represents all values of m for which the equation has no real solutions?","mcq","m > 5","m > 0","m < 0","m < 5","C","",""
"math","1","17","","y = x2 −6x + 11 y = −5x + 13 If (x, y) is a solution to the system of equations above, what is one possible value of y−x?","spr","","","","","","1, 19",""
"math","1","18","","√ x + 5 = 1 −x What is the solution set of the equation above?","mcq","{−1}","{4}","{−1, 4}","No solution 7 PMMSET 006","A","",""
"math","1","19","","(x + 4)2 + (y −3)2 = 4 The equation above represents a circle in the xy-plane. If the circle is shifted 3 units to the left and 3 units down and the length of its radius is halved, which of the following is an equation of the transformed circle?","mcq","(x + 1)2 + (y −6)2 = 1","(x + 1)2 + (y −6)2 = 2","(x + 7)2 + y2 = 1","(x + 7)2 + y2 = 2","C","",""
"math","1","20","","Q A B Note: Figure not drawn to scale. In the figure above, Q is the center of the circle. If the measure of acute angle AQB is between π 7 radians and 3π 19 radians, what is one possible integer measure, in degrees, of acute angle AQB? 8 PMMSET 006 Answer Sheet Module 1 1 2 3 4 5 6 7 8 9 10 C D A A A 7 A A B C 11 12 13 14 15 16 17 18 19 20 C C 7 18 B C 1, 19 A C 26, 27, 28","spr","","","","","","26, 27, 28",""
