module,question_number,prompt,correct_answer_text,image_url,question_type
"1","3","[image] The table shows three values of \(x\) and their corresponding values of \(y\). There is a quadratic relationship between \(x\) and \(y\). An equation that represents this relationship can be written as \(y = 24x^2 - bx - 128\), where \(b\) is a constant. What is the value of \(b\)?","64","","spr"
"1","10","[image] Note: Figure not drawn to scale. A right triangle has the dimensions shown, in centimeters (cm). What is the area of this triangle, in \(\text{cm}^2\)?","12","","spr"
"1","12","A researcher investigated two species of mites: a predator and its prey. At the start of a week, there was an equal number of the two species. At the end of the week, the number of prey had increased by 1900% of the number of prey at the start of the week, and the number of predators had increased by 240% of the number of predators at the start of the week. The number of predators at the end of the week was \(p\%\) less than the number of prey at the end of the week. What is the value of \(p\)?","83","","spr"
"1","16","\((x + 2)(x - 12) = 0\) What is the positive solution to the given equation?","12","","spr"
"2","6","\(f(x) = 21(1.20)^{\frac{x}{3}}\)

For the given function \(f\), the value of \(f(x)\) increases by \(p\%\) for every increase of \(x\) by \(6\). What is the value of \(p\)?","44","","spr"
"2","9","\(-7x^2 + bx - 63 = 0\)

In the given equation, \(b\) is a positive integer. The equation has no real solution. What is the largest possible value of \(b\)?","41","","spr"
"2","10","If \(5 + \frac{2(13 - x)}{7} = 3(13 - x) + 5\), what is the value of \(13 + x\)?","26","","spr"
"2","13","[image]

For the linear function \(f\), the table shows three values of \(x\) and their corresponding values of \(f(x)\). Function \(f\) is defined by \(f(x) = rx + s\), where \(r\) and \(s\) are constants. What is the value of \(rs\)?","507","","spr"
"2","14","\(57x^{18} + bx^9 + 34\)

The given expression, where \(b\) is a constant, is equivalent to \((3x^9 + q)(rx^9 + 2)\), where \(q\) and \(r\) are constants. What is the value of \(b\)?","36","","spr"
"2","16","A circle in the \(xy\)-plane has its center at \((-4, 4)\) and has a radius of \(6\). An equation of this circle is \(x^2 + y^2 + ax + by + c = 0\), where \(a\), \(b\), and \(c\) are constants. What is the value of \(c\)?","-4","","spr"
"2","17","A model estimates that the population of a state was \(4\) million in 1980 and increased by \(0.041\) million each year until 2007. According to the model, what was the estimated population of this state, in millions, \(10\) years after 1980?","4.41","","spr"
"2","18","In triangle \(RST\), angle \(T\) is a right angle, point \(L\) lies on \(\overline{RS}\), point \(K\) lies on \(\overline{ST}\), and \(\overline{LK}\) is parallel to \(\overline{RT}\). If the length of \(\overline{RT}\) is \(63\) units, the length of \(\overline{LK}\) is \(21\) units, and the area of triangle \(RST\) is \(252\) square units, what is the length of \(\overline{KT}\), in units?","112/21","","spr"
