module,question_number,prompt,option_a,option_b,option_c,option_d,correct_answer_index,image_url,question_type
"1","1","An artist made 12 pieces of pottery using 42 pounds of clay. The pottery included only bowls and vases. Each bowl used 2 pounds of clay and each vase used 4 pounds of clay. How many vases did the artist make?","3","5","7","9","3","","mcq"
"1","2","One gallon of paint will cover 10 square feet of a surface. A room has a total wall area of \(w\) square feet. Which equation represents the total amount of paint \(P\), in gallons, needed to paint the walls of the room twice?","\(P = 20w\)","\(P = 10w\)","\(P = \frac{w}{5}\)","\(P = \frac{w}{10}\)","2","","mcq"
"1","4","The equation \(E(t) = 5(1.2)^t\) gives the estimated number of employees at a certain business, where \(t\) is the number of years since the business opened. Which of the following is the best interpretation of the number 5 in this context?","The increase in the estimated number of employees each year","The estimated number of employees when the business opened","The percent increase in the estimated number of employees each year","The number of years the business has been open","1","","mcq"
"1","5","Line \(t\) in the \(xy\)-plane has a slope of \(\frac{1}{7}\) and passes through the point \((35, -8)\). Which equation defines line \(t\)?","\(y = -13x + \frac{1}{7}\)","\(y = \frac{x}{7} - 13\)","\(y = \frac{x}{7} - 8\)","\(y = 35x - 8\)","1","","mcq"
"1","6","The area of a rectangular region is increasing at a rate of 210 square feet per hour. Which of the following is closest to this rate in square meters per minute? (Use 1 meter = 3.28 feet.)","0.33","1.07","11.48","19.52","0","","mcq"
"1","7","The scatterplot shows the relationship between \(x\) and \(y\) for the 9 data points in data set A. [image] A quadratic model for the data in data set A can be written as \(y = 0.04x^2 - 0.07x + 6.59\). The graph of this model is shown in the \(xy\)-plane. The data point at \(x = 0\) was found to be the result of a recording error and was removed from data set A to create data set B, consisting of the remaining 8 data points. A quadratic model for the data in data set B can be written as \(y = ax^2 + bx + c\), where \(a\), \(b\), and \(c\) are constants. If the quadratic models for data sets A and B are calculated in the same way, which of the following statements must be true? I. \(a > 0.04\) II. \(c < 6.59\)","I only","II only","I and II","Neither I nor II","2","","mcq"
"1","8","\(f(x) = (2x - 7)(2x + 5)\) What is the minimum value of the given function?","-36","\(-\frac{5}{2}\)","\(\frac{1}{2}\)","2","0","","mcq"
"1","9","\(2x^2 + 18x + 2y^2 + 12y = \frac{15}{2}\) The given equation defines a circle in the \(xy\)-plane. What is the radius of the circle?","\(\frac{\sqrt{30}}{2}\)","\(\sqrt{15}\)","\(\sqrt{33}\)","\(\frac{\sqrt{498}}{2}\)","2","","mcq"
"1","11","[image] In the figure, line \(AB\) is parallel to line \(CD\), and line \(AD\) intersects line \(BC\) at point \(E\). If \(y = 119\) and \(z = 113\), what is the value of \(x\)?","52","67","128","142","2","","mcq"
"1","13","Which expression is NOT a factor of \(6,480x^4 - 1,280\)?","\(9x^2 + 4\)","\(3x^2 - 2\)","\(3x + 2\)","80","1","","mcq"
"1","14","\(-4x + 24px = 72\) In the given equation, \(p\) is a constant. The equation has no solution. What is the value of \(p\)?","0","\(\frac{1}{6}\)","\(\frac{3}{4}\)","3","1","","mcq"
"1","15","A zoologist observed the nests of wood ducks in an area. Each year, the zoologist recorded the number of eggs in each of the first 35 nests that were observed and created a frequency table for the data set. Which of the following frequency tables represents the data set with the smallest standard deviation?","[image]","[image]","[image]","[image]","3","","mcq"
"1","17","The function \(f\) is a quadratic function. In the \(xy\)-plane, the graph of \(y = f(x)\) has a vertex at \((1, 4)\) and passes through the points \((2, 28)\) and \((-1, 100)\). What is the value of \(f(-2) - f(0)\)?","76","124","192","220","2","","mcq"
"1","18","\(2x^2 + 14x + 2y^2 + 20y = \frac{15}{2}\) The given equation defines a circle in the \(xy\)-plane. What is the radius of the circle?","\(\frac{\sqrt{30}}{2}\)","\(\sqrt{15}\)","\(\sqrt{41}\)","\(\frac{\sqrt{626}}{2}\)","2","","mcq"
"1","19","\(y = 6x^2 - 48x + 99\) \(y + 4 = 0\) How many solutions are there to the given system of equations?","There is exactly 1 solution.","There are exactly 2 solutions.","There are exactly 3 solutions.","There are no solutions.","3","","mcq"
"1","20","[image] Note: Figure not drawn to scale. The triangle in the figure above has side lengths 3, 4, and \(2x\). Which of the following is NOT a possible value of \(x\)?","1","2.5","3","5","3","","mcq"
"1","21","Line \(p\) in the \(xy\)-plane contains the points \((6, 0)\) and \((6, 6)\). Which equation defines line \(p\)?","\(x = 0\)","\(x = 6\)","\(y = 0\)","\(y = 6\)","1","","mcq"
"1","22","The function \(f\) is defined by \(f(z) = 3z\). Which of the following is equivalent to \(f(z - 7)\)?","\(-3z\)","\(3z - 7\)","\(3z - 21\)","\(-3z + 21\)","2","","mcq"
"2","1","The expression \(\frac{kx - 17}{2x^2 - 11x + 15}\) is equivalent to \(\frac{p}{x - 3} - \frac{1}{2x - 5}\), where \(k\) and \(p\) are constants. What is the value of \(p\)?","\(-16\)","\(\frac{14}{5}\)","\(4\)","\(7\)","2","","mcq"
"2","2","The measure of angle \(F\) is \(\frac{\pi}{12}\) radians. If the measure of angle \(F\) is \(3n\) degrees, where \(n\) is a constant, what is the value of \(n\)?","\(3\)","\(5\)","\(12\)","\(15\)","3","","mcq"
"2","3","The function \(g\) is defined by \(g(x) = -2x(x + 4)(x - k)^2 + r\), where \(k\) and \(r\) are integer constants. In the \(xy\)-plane, the graph of \(y = g(x)\) passes through the point \((8, 17)\), and \(g(0) = 17\). What is the value of \(r + k\)?","\(-8\)","\(0\)","\(17\)","\(25\)","3","","mcq"
"2","4","The function \(f\) is defined by \(f(x) = 41(0.26)^x\). For any positive integer \(n\), the value of \(f(n)\) is \(p\%\) less than the value of \(f(n - 1)\). What is the value of \(p\)?","\(74\)","\(59\)","\(41\)","\(26\)","0","","mcq"
"2","5","[image]

The shaded region shown represents the solutions to which inequality?","\(y \ge -2x + 4\)","\(y > 4x - 2\)","\(y \le -2x + 4\)","\(y \le 4x - 2\)","0","","mcq"
"2","7","A company developed a plan to set the selling price of a product. The company determined that for a selling price of \(\$90.00\), zero products would be sold. For each \(\$1.50\) decrease in the selling price, the number of products sold would increase by one. For a revenue of exactly \(\$1,336.50\), which of the following could be the number of products sold? (\(\text{revenue} = \text{price} \times \text{number of products sold}\))","\(27\)","\(30\)","\(831\)","\(1,350\)","0","","mcq"
"2","8","\(y = 4x^2 - 24x + 38\)
\(y + 3 = 0\)

How many solutions are there to the given system of equations?","There is exactly 1 solution.","There are exactly 2 solutions.","There are exactly 3 solutions.","There are no solutions.","3","","mcq"
"2","11","The area of a rectangle is \(60\) square inches. The length of the longest side of the rectangle is \(15\) inches. What is the length, in inches, of the shortest side of this rectangle?","\(4\)","\(15\)","\(30\)","\(45\)","0","","mcq"
"2","12","For the linear function \(g\), \(g(9) = 11\) and \(g(x + 1) - g(x) = 2\). Which equation defines \(g\)?","\(g(x) = 9x + 2\)","\(g(x) = 9x + 11\)","\(g(x) = 2x - 18\)","\(g(x) = 2x - 7\)","3","","mcq"
"2","15","\(g(x) = x^3 + ax^2 + bx + c\)

The function \(g\) is defined by the given equation, where \(a\), \(b\), and \(c\) are integer constants. The zeros of the function are \(-2\), \(-7\), and \(3\). What is the value of \(a\)?","\(-42\)","\(-6\)","\(6\)","\(42\)","2","","mcq"
"2","19","A car dealership has only sedans, SUVs, and minivans for sale. On Monday, \(20\%\) of the vehicles for sale were sedans and \(50\%\) were SUVs. If there were \(62\) sedans for sale at the dealership on Monday, how many minivans were for sale?","\(93\)","\(310\)","\(9\)","\(36\)","0","","mcq"
"2","20","An exponential function \(f\) gives the estimated amount of an X-ray beam's initial intensity remaining after passing through a \(w\)-centimeter-thick window made of beryllium. The function estimates that after passing through a \(1.8\)-centimeter-thick window, the amount of the X-ray beam's initial intensity remaining is \(0.65\). Which equation could define \(f\)?","\(f(w) = 0.65(0.79)^{w - 1.8}\)","\(f(w) = 0.65(0.79)^{\frac{w}{1.8}}\)","\(f(w) = 0.65(1.8)^w\)","\(f(w) = 1.8(0.65)^w\)","0","","mcq"
"2","21","[image]

In the figure, \(\overline{BC}\) is parallel to \(\overline{DE}\). If the length of \(\overline{DE}\) is \(162\) and the length of \(\overline{AE}\) is \(270\), what is the value of \(\tan x^\circ\)?","\(\frac{270}{162}\)","\(\frac{216}{162}\)","\(\frac{162}{270}\)","\(\frac{162}{216}\)","1","","mcq"
"2","22","The function \(f\) is defined by \(f(x) = |x - 6x|\). What value of \(a\) satisfies \(f(1) - f(a) = -15\)?","\(-16\)","\(3\)","\(4\)","\(75\)","2","","mcq"
