module,question_number,prompt,option_a,option_b,option_c,option_d,correct_answer_index,correct_answer_text,image_url,question_type
"1","1","For the given function \(f\), the value of \(f(x)\) increases by \(p\%\) for every increase of \(x\) by \(6\). What is the value of \(p\)?\n\(\(f(x) = 27(1.20)^{\frac{x}{6}}\)\)","","","","","","44","","spr"
"1","2","How many times does the graph of the given equation in the \(xy\)-plane cross the \(x\)-axis, where \(a\), \(b\), and \(c\) are positive constants such that \(a > 7\) and \(b > c\)?\n\(\(y = 9\left(\frac{a}{7}\right)^{x + c} - b\)\)","Zero","One","Two","Three","1","","","mcq"
"1","3","The table shows three values of \(x\) and their corresponding values of \(g(x)\), where \(g(x) = \frac{f(x)}{x + 3}\) and \(f\) is a linear function. What is the \(y\)-intercept of the graph of \(y = f(x)\) in the \(xy\)-plane?\n\n| \(x\) | \(g(x)\) |\n|---|---|\n| \(-27\) | \(3\) |\n| \(-9\) | \(0\) |\n| \(21\) | \(5\) |","\((0, 36)\)","\((0, 12)\)","\((0, 4)\)","\((0, -9)\)","0","","","mcq"
"1","4","The quadratic function \(h\) is defined as shown. In the \(xy\)-plane, the graph of \(y = h(x)\) intersects the \(x\)-axis at the points \((0, 0)\) and \((t, 0)\), where \(t\) is a constant. What is the value of \(t\)?\n\(\(h(x) = 2(x - 4)^2 - 32\)\)","\(1\)","\(2\)","\(4\)","\(8\)","3","","","mcq"
"1","5","What is the minimum value of the given function?\n\(\(f(x) = x^2 - 48x + 2,304\)\)","","","","","","1728","","spr"
"1","6","What is the positive solution to the given equation?\n\(\(2|4 - x| + 3|4 - x| = 25\)\)","","","","","","9","","spr"
"1","7","The function \(f\) is defined by \(f(x) = (-8)(2)^x + 22\). What is the \(y\)-intercept of the graph of \(y = f(x)\) in the \(xy\)-plane?","\((0, 14)\)","\((0, 2)\)","\((0, 22)\)","\((0, -8)\)","0","","","mcq"
"1","8","An auditorium has seats for \(1,800\) people. Tickets to attend a show at the auditorium currently cost \(\$4.00\). For each \(\$1.00\) increase to the ticket price, \(100\) fewer tickets will be sold. This situation can be modeled by the equation \(y = -100x^2 + 1,400x + 7,200\), where \(x\) represents the increase in ticket price, in dollars, and \(y\) represents the revenue, in dollars, from ticket sales. If this equation is graphed in the \(xy\)-plane, at what value of \(x\) is the maximum of the graph?","\(4\)","\(7\)","\(14\)","\(18\)","1","","","mcq"
"1","9","One solution to the given equation can be written as \(1 + \sqrt{k}\), where \(k\) is a constant. What is the value of \(k\)?\n\(\(x^2 - 2x - 9 = 0\)\)","\(8\)","\(10\)","\(20\)","\(40\)","1","","","mcq"
"1","10","In the \(xy\)-plane, a line with equation \(2y = 4.5\) intersects a parabola at exactly one point. If the parabola has equation \(y = -4x^2 + bx\), where \(b\) is a positive constant, what is the value of \(b\)?","","","","","","6","","spr"
"1","11","The given function \(f\) models the number of advertisements a company sent to its clients each year, where \(x\) represents the number of years since \(1997\), and \(0 \le x \le 5\). If \(y = f(x)\) is graphed in the \(xy\)-plane, which of the following is the best interpretation of the \(y\)-intercept of the graph in this context?\n\(\(f(x) = 9,000(0.66)^x\)\)","The minimum estimated number of advertisements the company sent to its clients during the \(5\) years was \(1,708\).","The minimum estimated number of advertisements the company sent to its clients during the \(5\) years was \(9,000\).","The estimated number of advertisements the company sent to its clients in \(1997\) was \(1,708\).","The estimated number of advertisements the company sent to its clients in \(1997\) was \(9,000\).","3","","","mcq"
"1","12","The first term of a sequence is \(9\). Each term after the first is \(4\) times the preceding term. If \(w\) represents the \(n\)-th term of the sequence, which equation gives \(w\) in terms of \(n\)?","\(w = 4(9^n)\)","\(w = 4(9^{n-1})\)","\(w = 9(4^n)\)","\(w = 9(4^{n-1})\)","3","","","mcq"
"1","13","The function \(f\) is defined by \(f(x) = a(2.2^x + 2.2^b)\), where \(a\) and \(b\) are integer constants and \(0 < a < b\). The functions \(g\) and \(h\) are equivalent to function \(f\), where \(k\) and \(m\) are constants. Which of the following equations displays the \(y\)-coordinate of the \(y\)-intercept of the graph of \(y = f(x)\) in the \(xy\)-plane as a constant or coefficient?\n\nI. \(g(x) = a(2.2^x + k)\)\nII. \(h(x) = a(2.2)^x + m\)","I only","II only","I and II","Neither I nor II","3","","","mcq"
"1","14","\(x - y = 1\)\n\(x + y = x^2 - 3\)\n\nWhich ordered pair is a solution to the system of equations above?","\((1 + \sqrt{3}, \sqrt{3})\)","\((\sqrt{3}, -\sqrt{3})\)","\((1 + \sqrt{5}, \sqrt{5})\)","\((\sqrt{5}, -1 + \sqrt{5})\)","0","","","mcq"
